observation_date,CUUR0000SAN
1980-01-01,82.900
1980-02-01,84.500
1980-03-01,85.900
1980-04-01,86.600
1980-05-01,86.900
1980-06-01,87.400
1980-07-01,87.900
1980-08-01,88.800
1980-09-01,89.400
1980-10-01,89.700
1980-11-01,90.200
1980-12-01,90.800
1981-01-01,91.800
1981-02-01,93.800
1981-03-01,94.800
1981-04-01,95.100
1981-05-01,95.000
1981-06-01,95.200
1981-07-01,95.500
1981-08-01,95.800
1981-09-01,96.300
1981-10-01,96.300
1981-11-01,96.300
1981-12-01,96.400
1982-01-01,96.800
1982-02-01,97.100
1982-03-01,96.800
1982-04-01,96.300
1982-05-01,96.800
1982-06-01,98.100
1982-07-01,98.600
1982-08-01,98.500
1982-09-01,98.700
1982-10-01,98.800
1982-11-01,98.800
1982-12-01,98.600
1983-01-01,98.400
1983-02-01,98.200
1983-03-01,98.100
1983-04-01,99.100
1983-05-01,99.800
1983-06-01,100.000
1983-07-01,100.200
1983-08-01,100.500
1983-09-01,100.700
1983-10-01,100.700
1983-11-01,100.500
1983-12-01,100.500
1984-01-01,101.200
1984-02-01,102.000
1984-03-01,102.100
1984-04-01,102.300
1984-05-01,102.300
1984-06-01,102.200
1984-07-01,102.200
1984-08-01,102.600
1984-09-01,103.000
1984-10-01,103.200
1984-11-01,103.100
1984-12-01,103.100
1985-01-01,103.000
1985-02-01,103.400
1985-03-01,104.000
1985-04-01,104.600
1985-05-01,104.800
1985-06-01,105.000
1985-07-01,104.900
1985-08-01,105.000
1985-09-01,105.300
1985-10-01,105.500
1985-11-01,106.000
1985-12-01,106.300
1986-01-01,106.400
1986-02-01,105.200
1986-03-01,103.500
1986-04-01,102.300
1986-05-01,102.700
1986-06-01,103.000
1986-07-01,102.600
1986-08-01,102.700
1986-09-01,103.500
1986-10-01,103.300
1986-11-01,103.400
1986-12-01,103.500
1987-01-01,104.400
1987-02-01,105.300
1987-03-01,106.100
1987-04-01,106.900
1987-05-01,107.200
1987-06-01,107.400
1987-07-01,107.300
1987-08-01,108.100
1987-09-01,109.000
1987-10-01,109.400
1987-11-01,109.500
1987-12-01,109.100
1988-01-01,109.100
1988-02-01,109.000
1988-03-01,109.800
1988-04-01,111.000
1988-05-01,111.400
1988-06-01,111.400
1988-07-01,111.900
1988-08-01,112.400
1988-09-01,113.700
1988-10-01,114.200
1988-11-01,114.100
1988-12-01,113.900
1989-01-01,114.300
1989-02-01,114.900
1989-03-01,116.200
1989-04-01,118.400
1989-05-01,119.300
1989-06-01,119.000
1989-07-01,118.700
1989-08-01,118.400
1989-09-01,119.300
1989-10-01,120.100
1989-11-01,120.000
1989-12-01,119.800
1990-01-01,122.000
1990-02-01,122.900
1990-03-01,123.800
1990-04-01,124.200
1990-05-01,124.200
1990-06-01,124.600
1990-07-01,124.600
1990-08-01,126.300
1990-09-01,128.700
1990-10-01,130.400
1990-11-01,130.500
1990-12-01,130.000
1991-01-01,129.800
1991-02-01,129.300
1991-03-01,129.200
1991-04-01,130.200
1991-05-01,130.600
1991-06-01,130.400
1991-07-01,129.600
1991-08-01,130.100
1991-09-01,131.000
1991-10-01,131.000
1991-11-01,131.500
1991-12-01,131.100
1992-01-01,130.600
1992-02-01,131.100
1992-03-01,132.100
1992-04-01,132.400
1992-05-01,132.800
1992-06-01,132.800
1992-07-01,132.500
1992-08-01,133.000
1992-09-01,133.800
1992-10-01,134.200
1992-11-01,134.200
1992-12-01,133.600
1993-01-01,133.900
1993-02-01,134.700
1993-03-01,135.300
1993-04-01,135.800
1993-05-01,135.900
1993-06-01,135.000
1993-07-01,134.200
1993-08-01,134.500
1993-09-01,134.700
1993-10-01,135.800
1993-11-01,135.800
1993-12-01,135.100
1994-01-01,135.000
1994-02-01,135.200
1994-03-01,136.000
1994-04-01,136.400
1994-05-01,136.500
1994-06-01,136.500
1994-07-01,136.600
1994-08-01,137.400
1994-09-01,138.100
1994-10-01,138.100
1994-11-01,138.200
1994-12-01,137.800
1995-01-01,137.800
1995-02-01,138.100
1995-03-01,138.700
1995-04-01,139.600
1995-05-01,139.900
1995-06-01,139.600
1995-07-01,139.000
1995-08-01,139.300
1995-09-01,139.900
1995-10-01,140.400
1995-11-01,140.100
1995-12-01,139.700
1996-01-01,140.700
1996-02-01,141.000
1996-03-01,142.500
1996-04-01,143.900
1996-05-01,144.200
1996-06-01,143.600
1996-07-01,143.100
1996-08-01,143.100
1996-09-01,144.100
1996-10-01,145.100
1996-11-01,145.600
1996-12-01,145.300
1997-01-01,145.500
1997-02-01,145.900
1997-03-01,146.200
1997-04-01,146.600
1997-05-01,146.400
1997-06-01,145.800
1997-07-01,145.400
1997-08-01,146.100
1997-09-01,147.100
1997-10-01,147.400
1997-11-01,147.300
1997-12-01,146.500
1998-01-01,146.200
1998-02-01,146.100
1998-03-01,146.200
1998-04-01,146.700
1998-05-01,147.500
1998-06-01,146.900
1998-07-01,146.400
1998-08-01,146.800
1998-09-01,147.100
1998-10-01,148.100
1998-11-01,147.800
1998-12-01,147.500
1999-01-01,147.900
1999-02-01,147.900
1999-03-01,148.500
1999-04-01,151.400
1999-05-01,151.400
1999-06-01,150.500
1999-07-01,150.600
1999-08-01,151.500
1999-09-01,153.200
1999-10-01,154.000
1999-11-01,153.700
1999-12-01,153.600
2000-01-01,153.700
2000-02-01,155.600
2000-03-01,158.100
2000-04-01,158.200
2000-05-01,158.000
2000-06-01,158.800
2000-07-01,158.400
2000-08-01,157.600
2000-09-01,160.000
2000-10-01,160.100
2000-11-01,160.200
2000-12-01,159.100
2001-01-01,159.100
2001-02-01,160.000
2001-03-01,160.300
2001-04-01,162.000
2001-05-01,163.600
2001-06-01,162.700
2001-07-01,160.300
2001-08-01,159.700
2001-09-01,162.300
2001-10-01,160.800
2001-11-01,159.100
2001-12-01,156.800
2002-01-01,157.000
2002-02-01,158.000
2002-03-01,160.200
2002-04-01,162.700
2002-05-01,162.100
2002-06-01,161.200
2002-07-01,160.600
2002-08-01,161.200
2002-09-01,162.200
2002-10-01,163.000
2002-11-01,162.900
2002-12-01,161.600
2003-01-01,162.200
2003-02-01,165.300
2003-03-01,167.200
2003-04-01,165.900
2003-05-01,164.300
2003-06-01,163.900
2003-07-01,163.500
2003-08-01,165.200
2003-09-01,167.400
2003-10-01,166.800
2003-11-01,166.100
2003-12-01,165.400
2004-01-01,166.400
2004-02-01,168.100
2004-03-01,170.300
2004-04-01,171.400
2004-05-01,174.100
2004-06-01,174.000
2004-07-01,172.200
2004-08-01,171.900
2004-09-01,172.800
2004-10-01,175.800
2004-11-01,175.600
2004-12-01,173.300
2005-01-01,172.500
2005-02-01,174.200
2005-03-01,177.000
2005-04-01,180.300
2005-05-01,179.400
2005-06-01,178.200
2005-07-01,179.400
2005-08-01,182.100
2005-09-01,188.900
2005-10-01,188.000
2005-11-01,182.400
2005-12-01,180.100
2006-01-01,182.000
2006-02-01,182.200
2006-03-01,184.400
2006-04-01,188.700
2006-05-01,191.000
2006-06-01,190.200
2006-07-01,190.400
2006-08-01,191.000
2006-09-01,187.800
2006-10-01,184.800
2006-11-01,183.800
2006-12-01,184.500
2007-01-01,184.284
2007-02-01,185.751
2007-03-01,190.212
2007-04-01,193.570
2007-05-01,196.916
2007-06-01,195.749
2007-07-01,194.326
2007-08-01,192.869
2007-09-01,194.616
2007-10-01,195.646
2007-11-01,199.253
2007-12-01,198.422
2008-01-01,199.346
2008-02-01,200.030
2008-03-01,203.767
2008-04-01,207.096
2008-05-01,211.240
2008-06-01,214.783
2008-07-01,215.628
2008-08-01,212.882
2008-09-01,213.274
2008-10-01,207.435
2008-11-01,195.773
2008-12-01,189.557
2009-01-01,190.649
2009-02-01,192.943
2009-03-01,194.105
2009-04-01,195.864
2009-05-01,197.673
2009-06-01,201.461
2009-07-01,199.746
2009-08-01,201.191
2009-09-01,201.783
2009-10-01,202.058
2009-11-01,203.035
2009-12-01,202.064
2010-01-01,203.588
2010-02-01,203.219
2010-03-01,205.409
2010-04-01,206.393
2010-05-01,206.391
2010-06-01,204.157
2010-07-01,203.471
2010-08-01,204.111
2010-09-01,204.920
2010-10-01,206.518
2010-11-01,207.053
2010-12-01,208.028
2011-01-01,210.205
2011-02-01,212.056
2011-03-01,217.791
2011-04-01,221.504
2011-05-01,223.413
2011-06-01,220.611
2011-07-01,219.979
2011-08-01,220.958
2011-09-01,222.036
2011-10-01,221.035
2011-11-01,220.592
2011-12-01,218.411
2012-01-01,220.325
2012-02-01,222.634
2012-03-01,227.039
2012-04-01,228.190
2012-05-01,226.283
2012-06-01,223.115
2012-07-01,221.463
2012-08-01,224.939
2012-09-01,227.913
2012-10-01,227.788
2012-11-01,224.101
2012-12-01,221.668